CMAES_ACC gen=0 loss=0.8090126945 acc=0.2898165769 surr_mult=1.000 surr_corr=0.000
CMAES_ACC gen=41 loss=0.7772147794 acc=0.3301464690 surr_mult=0.397 surr_corr=0.000
CMAES_ACC gen=42 loss=0.7772147794 acc=0.3301464690 surr_mult=0.317 surr_corr=0.000
CMAES_ACC gen=43 loss=0.7772147794 acc=0.3301464690 surr_mult=0.254 surr_corr=0.000
CMAES_ACC gen=44 loss=0.7772147794 acc=0.3301464690 surr_mult=0.203 surr_corr=0.000
CMAES_ACC gen=45 loss=0.7772147794 acc=0.3301464690 surr_mult=0.162 surr_corr=0.000
CMAES_ACC gen=46 loss=0.7772147794 acc=0.3301464690 surr_mult=0.130 surr_corr=0.000
CMAES_ACC gen=47 loss=0.7772147794 acc=0.3301464690 surr_mult=0.104 surr_corr=0.000
CMAES_ACC gen=48 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=49 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=50 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=51 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=52 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=53 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=54 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=55 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=56 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=57 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=58 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=59 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=60 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=61 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=62 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=63 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=64 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=65 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=66 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=67 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=68 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=69 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=70 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=71 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=72 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=73 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=74 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=75 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=76 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=77 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=78 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=79 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=80 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=81 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=82 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=83 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=84 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=85 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=86 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=87 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=88 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=89 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=90 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=91 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=92 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=93 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=94 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=95 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=96 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=97 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=98 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=99 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=100 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=101 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=102 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=103 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=104 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=105 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=106 loss=0.7772147794 acc=0.3301464690 surr_mult=0.100 surr_corr=0.000
